Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/97532735/clean-title-2020-mercedes-benz-sprinter-2500-ma-north-boston,97532735,$1 USD,12/17/2025 06:30 pm GMT+3:30,2020,MERZ,SPRINTER 2,3.0L  6,6,W1Y4EBHY1LT******,CERTIFICATE OF TITLE (P),1 N,NOT ACTUAL,MINOR DENT/SCRATCHES,"6,700 USD",0 USD,0,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97444525/clean-title-2018-land-rover-range-rover-velar-r-dynamic-hse-ma-north-boston,97444525,$1 USD,12/17/2025 06:30 pm GMT+3:30,2018,LAND,RANGE ROVE,2.0L  4,4,SALYM2RX6JA******,CERTIFICATE OF TITLE (P),"59,293 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,112,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97444375/clean-title-2021-mercedes-benz-gle-350-ma-north-boston,97444375,$1 USD,12/17/2025 06:30 pm GMT+3:30,2021,MERZ,GLE 350,2.0L  4,4,4JGFB4JB0MA******,CERTIFICATE OF TITLE (P),"84,993 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,111,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97444255/clean-title-2021-mercedes-benz-gle-coupe-63-s-4matic-amg-ma-north-boston,97444255,$1 USD,12/17/2025 06:30 pm GMT+3:30,2021,MERZ,GLE COUPE,4.0L  8,8,4JGFD8KB7MA******,CERTIFICATE OF TITLE (P),"136,187 A",ACTUAL,MINOR DENT/SCRATCHES,"10,000 USD",0 USD,101,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97444165/clean-title-2018-land-rover-range-rover-velar-s-ma-north-boston,97444165,$1 USD,12/17/2025 06:30 pm GMT+3:30,2018,LAND,RANGE ROVE,3.0L  6,6,SALYB2RVXJA******,CERTIFICATE OF TITLE (P),"70,465 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,109,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97443405/clean-title-2013-ram-1500-st-ma-freetown,97443405,$1 USD,12/17/2025 06:30 pm GMT+3:30,2013,RAM,1500 ST,5.7L  8,8,1C6RR6FT6DS******,CERTIFICATE OF TITLE,"226,652 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,MA - FREETOWN,0,N/A,N/A
https://www.copart.com/lot/97416725/clean-title-2016-hyundai-tucson-limited-ma-north-boston,97416725,$1 USD,12/17/2025 06:30 pm GMT+3:30,2016,HYUN,TUCSON LIM,1.6L  4,4,KM8J3CA21GU******,CERTIFICATE OF TITLE (P),"87,825 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,3306,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97370925/clean-title-2012-audi-q7-premium-plus-ma-north-boston,97370925,$1 USD,12/17/2025 06:30 pm GMT+3:30,2012,AUDI,Q7 PREMIUM,3.0L  6,6,WA1LGAFE2CD******,CERTIFICATE OF TITLE (P),"97,316 A",ACTUAL,NORMAL WEAR,"1,850 USD",0 USD,140,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97360175/clean-title-2017-land-rover-range-rover-hse-ma-north-boston,97360175,"18,452 USD",12/17/2025 06:30 pm GMT+3:30,2017,LAND,RANGE ROVE,3.0L  6,6,SALGS2FV5HA******,CERT OF TITLE (P),"159,679 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,4034,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97355455/clean-title-2009-lexus-rx-350-ma-north-boston,97355455,$1 USD,12/17/2025 06:30 pm GMT+3:30,2009,LEXS,RX 350,3.5L  6,6,2T2HK31U19C******,CERTIFICATE OF TITLE (P),"188,977 A",ACTUAL,NORMAL WEAR,100 USD,0 USD,3355,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97304785/clean-title-2017-toyota-sienna-le-me-windham,97304785,"15,000 USD",12/17/2025 06:30 pm GMT+3:30,2017,TOYT,SIENNA LE,3.5L  6,6,5TDJZ3DC1HS******,CERTIFICATE OF TITLE (P),"167,517 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,ME - WINDHAM,0,N/A,N/A
https://www.copart.com/lot/97294355/clean-title-2022-mercedes-benz-gle-coupe-amg-53-4matic-ma-north-boston,97294355,$1 USD,12/17/2025 06:30 pm GMT+3:30,2022,MERZ,GLE COUPE,3.0L  6,6,4JGFD6BB2NA******,CERTIFICATE OF TITLE (P),"84,885 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,108,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97293495/clean-title-2021-audi-q7-premium-plus-ma-north-boston,97293495,$1 USD,12/17/2025 06:30 pm GMT+3:30,2021,AUDI,Q7 PREMIUM,3.0L  6,6,WA1LXAF75MD******,CERTIFICATE OF TITLE (P),"103,100 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,110,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97292895/clean-title-2023-ford-f150-raptor-ma-north-boston,97292895,$1 USD,12/17/2025 06:30 pm GMT+3:30,2023,FORD,F150 RAPTO,3.5L  6,6,1FTFW1RG9PF******,CERTIFICATE OF TITLE (P),"116,731 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,107,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97292405/clean-title-2018-land-rover-range-rover-sport-hse-ma-north-boston,97292405,$1 USD,12/17/2025 06:30 pm GMT+3:30,2018,LAND,RANGE ROVE,3.0L  6,6,SALWR2RV8JA******,CERTIFICATE OF TITLE (P),"148,570 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,105,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97291775/clean-title-2017-mercedes-benz-gls-450-4matic-ma-north-boston,97291775,$1 USD,12/17/2025 06:30 pm GMT+3:30,2017,MERZ,GLS 450 4M,3.0L  6,6,4JGDF6EE4HA******,CERTIFICATE OF TITLE (P),"181,933 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,106,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97291585/clean-title-2011-lexus-gx-460-ma-north-boston,97291585,$1 USD,12/17/2025 06:30 pm GMT+3:30,2011,LEXS,GX 460,4.6L  8,8,JTJBM7FX8B5******,CERTIFICATE OF TITLE (P),"149,422 A",ACTUAL,MINOR DENT/SCRATCHES,"9,500 USD",0 USD,0,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97233765/clean-title-2014-ford-fusion-titanium-hev-ma-north-boston,97233765,$1 USD,12/17/2025 06:30 pm GMT+3:30,2014,FORD,FUSION TIT,2.0L  4,4,3FA6P0RU2ER******,CERTIFICATE OF TITLE (P),"155,895 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,148,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97233125/clean-title-2017-nissan-rogue-sv-ma-north-boston,97233125,$1 USD,12/17/2025 06:30 pm GMT+3:30,2017,NISS,ROGUE SV,2.5L  4,4,5N1AT2MV8HC******,CERTIFICATE OF TITLE (P),"151,937 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,150,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97232415/clean-title-2018-ford-explorer-xlt-ma-north-boston,97232415,$1 USD,12/17/2025 06:30 pm GMT+3:30,2018,FORD,EXPLORER X,3.5L  6,6,1FM5K7D84JG******,CERTIFICATE OF TITLE (P),"194,287 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,147,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97231215/clean-title-2018-bmw-530-xi-ma-north-boston,97231215,$1 USD,12/17/2025 06:30 pm GMT+3:30,2018,BMW,530 XI,2.0L  4,4,WBAJA7C57JW******,CERTIFICATE OF TITLE (P),"202,663 A",ACTUAL,NORMAL WEAR,"2,500 USD",0 USD,146,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97229895/salvage-2014-bmw-x3-xdrive28i-ma-north-boston,97229895,$1 USD,12/17/2025 06:30 pm GMT+3:30,2014,BMW,X3 XDRIVE2,2.0L  4,4,5UXWX9C59E0******,CERT OF TITLE-SALVAGE (P),"123,722 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,149,MA - NORTH BOSTON,0,N/A,N/A
